Hot Threshold,seeds/sec
0,30209.98709
0.02,34676.69566
0.05,38460.37926
0.1,42189.43638
0.2,42387.49842
0.3,41841.69754
0.4,41140.27196
0.5,39147.60382
1,39308.21931
