8,16,32
RD
DGL,12753.39551,16767.68229,34215.91365
Ours,26972.13677,39503.34706,87102.46949
PD
DGL,3182.729103,6477.143949,13310.96954
Ours,7921.508114,17188.87966,30996.18489
PP
DGL,,,14833.79884
Ours,,,38684.44328
MAG
DGL,,,15211.86545
Ours,,,39173.14627
