8,16,32
RD
DGL,13721.98472,17126.28924,34509.89654
Ours,30282.83267,41473.44236,92701.95154
PD
DGL,3312.085494,6660.783311,13666.34693
Ours,9091.6027,18320.61424,33486.33228
PP
DGL,,,15592.69951
Ours,,,41832.99777
MAG
DGL,,,15970.73447
Ours,,,31402.0359
