Baseline,Block Cold,Block Hot
0.2901,0.2345,0.2925
0.3084,0.3077,0.3034 
0.4094,0.3081,0.308
0.5323,0.3122,0.308
0.6877,0.3215,0.3082
0.7642,0.4101,0.308
0.8124,0.5009,0.308
0.8645,0.5942,0.3082
0.8862,0.6425,0.3086
0.897,0.7053,0.3104
0.9031,0.7363,0.3152
0.9058,0.7674,0.3278
0.9083,0.7892,0.3573
0.9099,0.8122,0.421
0.9115,0.8374,0.4681
0.9128,0.8526,0.5005
0.9131,0.8627,0.5286
0.9137,0.8672,0.5555
0.9142,0.8707,0.6174
0.9151,0.8766,0.6594
